"Agency","Site","Site AQS","Param","Param AQS","POC","Method","Duration","Date (UTC)","Time (UTC)","Date (LST)","Time (LST)","Offset (LST)","Value","Unit","QC Code"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/19/2018","05:00","01/19/2018","00:00","-05:00","20.0","AQI","7"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/19/2019","05:00","01/19/2019","00:00","-05:00","22.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/20/2017","05:00","01/20/2017","00:00","-05:00","7.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/20/2018","05:00","01/20/2018","00:00","-05:00","28.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/20/2019","05:00","01/20/2019","00:00","-05:00","38.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/21/2017","05:00","01/21/2017","00:00","-05:00","12.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/21/2018","05:00","01/21/2018","00:00","-05:00","19.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/21/2019","05:00","01/21/2019","00:00","-05:00","38.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/22/2017","05:00","01/22/2017","00:00","-05:00","20.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/22/2018","05:00","01/22/2018","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/22/2019","05:00","01/22/2019","00:00","-05:00","27.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/23/2017","05:00","01/23/2017","00:00","-05:00","28.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/23/2018","05:00","01/23/2018","00:00","-05:00","32.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/23/2019","05:00","01/23/2019","00:00","-05:00","28.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/24/2017","05:00","01/24/2017","00:00","-05:00","28.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/24/2018","05:00","01/24/2018","00:00","-05:00","26.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/24/2019","05:00","01/24/2019","00:00","-05:00","25.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/25/2017","05:00","01/25/2017","00:00","-05:00","26.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/25/2018","05:00","01/25/2018","00:00","-05:00","32.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/25/2019","05:00","01/25/2019","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/26/2017","05:00","01/26/2017","00:00","-05:00","24.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/26/2018","05:00","01/26/2018","00:00","-05:00","24.0","AQI","7"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/26/2019","05:00","01/26/2019","00:00","-05:00","33.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/27/2017","05:00","01/27/2017","00:00","-05:00","26.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/27/2018","05:00","01/27/2018","00:00","-05:00","33.0","AQI","7"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/27/2019","05:00","01/27/2019","00:00","-05:00","29.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/28/2017","05:00","01/28/2017","00:00","-05:00","23.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/28/2019","05:00","01/28/2019","00:00","-05:00","33.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/29/2017","05:00","01/29/2017","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/29/2018","05:00","01/29/2018","00:00","-05:00","27.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/29/2019","05:00","01/29/2019","00:00","-05:00","24.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/30/2017","05:00","01/30/2017","00:00","-05:00","30.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/30/2018","05:00","01/30/2018","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/30/2019","05:00","01/30/2019","00:00","-05:00","35.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/31/2017","05:00","01/31/2017","00:00","-05:00","29.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/31/2018","05:00","01/31/2018","00:00","-05:00","28.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","01/31/2019","05:00","01/31/2019","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/01/2017","05:00","02/01/2017","00:00","-05:00","26.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/01/2018","05:00","02/01/2018","00:00","-05:00","22.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/01/2019","05:00","02/01/2019","00:00","-05:00","25.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/02/2017","05:00","02/02/2017","00:00","-05:00","32.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/02/2018","05:00","02/02/2018","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/02/2019","05:00","02/02/2019","00:00","-05:00","19.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/03/2017","05:00","02/03/2017","00:00","-05:00","30.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/03/2018","05:00","02/03/2018","00:00","-05:00","29.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/03/2019","05:00","02/03/2019","00:00","-05:00","21.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/04/2017","05:00","02/04/2017","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/04/2018","05:00","02/04/2018","00:00","-05:00","24.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/04/2019","05:00","02/04/2019","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/05/2017","05:00","02/05/2017","00:00","-05:00","27.0","AQI","0"
